city,theatre_name,total_seats,no_screens
Ahmedabad,"AB Miniplex: Shivranjini Cross Road, Satellite",302,3
Ahmedabad,Amber Cinema: Ahmedabad,763,1
Ahmedabad,Anupam Cinema: Ahmedabad,781,1
Ahmedabad,"Apsara Cinema, Behrampura",1117,1
Ahmedabad,"Aradhana Cinema, Behrampura",455,1
Ahmedabad,Carnival: Himalaya Mall,1110,5
Ahmedabad,"Cinemax: Dev Arc, Ahmedabad",1047,4
Ahmedabad,"Cinemax: Red Carpet, Ahmedabad",991,4
Ahmedabad,"Cinemax: Shiv, Ahmedabad",637,3
Ahmedabad,"Cinepolis: Alpha One Mall, Ahmedabad",1136,6
Ahmedabad,City Gold Satellite: Ahmedabad,371,4
Ahmedabad,City Gold: Ashram Road,1313,5
Ahmedabad,City Gold: Bapunagar,419,4
Ahmedabad,City Gold: Bopal,462,4
Ahmedabad,City Gold: Motera,728,2
Ahmedabad,Devi Multiplex: Naroda,804,3
Ahmedabad,"Galaxy, Station Road",909,1
Ahmedabad,"Hanjar Cinema, Gandhi Ashram",995,1
Ahmedabad,K Sera Sera: SG Highway,152,2
Ahmedabad,"Mira Cinema, Bhairavnath Road",1028,1
Ahmedabad,Miraj Cinemas Cine Pride: Krishna Nagar,829,4
Ahmedabad,"Miraj Cinemas: Vitthal Plaza, New Naroda",372,3
Ahmedabad,Miraj City Pulse: Ahmedabad,936,4
Ahmedabad,"Mukta A2 Cinemas: Gulmohar Park Mall, Satellite Rd",404,4
Ahmedabad,"PVR: Acropolis, Ahmedabad",1343,6
Ahmedabad,"PVR: Arved Transcube, Ahmedabad",1404,7
Ahmedabad,"PVR: Motera, Ahmedabad",1102,4
Ahmedabad,Rajhans Cinemas: Nikol,741,3
Ahmedabad,Rajhans Cinemas: Satadhar,1080,4
Ahmedabad,Revolution Multiplex: Ahmedabad,423,4
Ahmedabad,"Sapna Cinema, Juhapura",1401,1
Ahmedabad,"Shital Cinema, Gomtipur",350,1
Ahmedabad,"Shree Balaji Agora Mall, Chandkheda",802,4
Ahmedabad,"Time Cinema: CG Road, Ahmedabad",372,4
Ahmedabad,"Usha Talkies, Gomtipur",550,1
Ahmedabad,Wide Angle: Ahmedabad,1400,5
Bangalore,"7D Mastii: Element Mall, Nagwara",18,1
Bangalore,"7D Mastiii: Forum Value Mall, Whitefield",16,1
Bangalore,"7D Voyage: Central Mall, Bellandur",8,1
Bangalore,7D VR Voyage: Garuda Mall,8,1
Bangalore,Abhinay Theatre: Gandhi Nagar,1019,1
Bangalore,Akash Cinemas (Rajeshwari Theatre): Laggere,780,1
Bangalore,Amruth Theatre: Lingarajapuram,926,1
Bangalore,"Anand Theatre, No-268",947,1
Bangalore,Anjan Digital 4K A/C Cinema: Magadi Road,990,1
Bangalore,Anupama Theatre: Gandhinagar,1032,1
Bangalore,Aruna Theatre: Srirampuram,936,1
Bangalore,"Ascendas Park Square Mall, EPIP",779,4
Bangalore,Balaji Digital 2K Cinema: Tavarekere,880,1
Bangalore,"Bharathi Chitra Mandira, Dasarahalli",1070,1
Bangalore,Bhumika Digital 2K Cinema: Gandhinagar,894,1
Bangalore,Carnival: Rockline Mall,1011,4
Bangalore,Cauvery Theatre: Sankey Road,1210,1
Bangalore,Chandrodaya Digital 2K Cinema: Vidyapeeta Circle,960,1
Bangalore,Cinepolis: Binnypet Mall,1580,8
Bangalore,"Cinepolis: Orion East Mall, Banaswadi",1097,5
Bangalore,Cinepolis: Royal Meenakshi Mall,1344,7
Bangalore,Cinesquare Savitha Theatre: Malleshwaram,350,1
